value,prob
18,1e-05
20,1e-05
22,5e-05
23,7e-05
24,9e-05
25,0.00013
26,0.00013
27,0.00035
28,0.00041
29,0.00067
30,0.00087
31,0.00132
32,0.00185
33,0.00225
34,0.00305
35,0.00429
36,0.00498
37,0.00611
38,0.00768
39,0.00965
40,0.01165
41,0.01299
42,0.01633
43,0.0189
44,0.02083
45,0.02444
46,0.02722
47,0.02984
48,0.03284
49,0.03617
50,0.03739
51,0.03896
52,0.04085
53,0.04214
54,0.0437
55,0.04348
56,0.04156
57,0.04265
58,0.04068
59,0.03957
60,0.03761
61,0.0358
62,0.03278
63,0.03045
64,0.02688
65,0.02498
66,0.02121
67,0.0184
68,0.0162
69,0.01415
70,0.01187
71,0.00932
72,0.00825
73,0.00593
74,0.0048
75,0.00396
76,0.00325
77,0.00242
78,0.00168
79,0.00124
80,0.00077
81,0.00074
82,0.00038
83,0.00025
84,0.00018
85,0.00013
86,9e-05
87,5e-05
88,2e-05
89,1e-05
90,1e-05
92,1e-05
93,2e-05
